content,cleaned_content
一艘船上的五只动物代表马斯洛需求的五个层次。水豚追求吃喝拉撒睡，是最基础的生理需求，也是小猫第一个同伴。狐猴代表安全需求，保护财产，避免威胁，但狐猴保卫的是一堆毫无价值的瓶瓶罐罐，他是二号同伴。三号是金毛狗，代表社交需要，无论是坏社交（狐朋狗友），还是好社交（与小猫），都是对爱和归属感的需要。然后是鹭鹰，对尊重的需要，人类理性中最高贵最接近神性的一部分。最后小猫则是自我实现的需求，它不断在大洪水和漂流中经历五个需求的变化，最后在拯救河豚的行动中完成自我。片中数次表现小猫落水，片尾它亦凝视水中倒影的自己。洪水代表潜意识，鲸鱼代表想象中自由的自我和搁浅时恐惧的自我，所有的自我需求都隐藏在潜意识的深水区里，等待下一次的潮起潮落。,一艘船上的五只动物代表马斯洛需求的五个层次 水豚追求吃喝拉撒睡 是最基础的生理需求 也是小猫第一个同伴 狐猴代表安全需求 保护财产 避免威胁 但狐猴保卫的是一堆毫无价值的瓶瓶罐罐 他是二号同伴 三号是金毛狗 代表社交需要 无论是坏社交 狐朋狗友 还是好社交 与小猫 都是对爱和归属感的需要 然后是鹭鹰 对尊重的需要 人类理性中最高贵最接近神性的一部分 最后小猫则是自我实现的需求 它不断在大洪水和漂流中经历五个需求的变化 最后在拯救河豚的行动中完成自我 片中数次表现小猫落水 片尾它亦凝视水中倒影的自己 洪水代表潜意识 鲸鱼代表想象中自由的自我和搁浅时恐惧的自我 所有的自我需求都隐藏在潜意识的深水区里 等待下一次的潮起潮落
哈哈哈哈，这片子里猫很人、鹭鹰很人、卡皮巴拉很人、环尾狐猴很人，就金毛，怎么还那么狗啊。,哈哈哈哈 这片子里猫很人 鹭鹰很人 卡皮巴拉很人 环尾狐猴很人 就金毛 怎么还那么狗啊
人死光挺好的,人死光挺好的
没有这只拉布拉多，从此狗界低众生一等。@博纳大悦城SRIFF2024,没有这只拉布拉多 从此狗界低众生一等 博纳大悦城SRIFF2024
在荒芜时代大洪水来临，化身为动物的“人类”向圣山漂流。被人类塑为地上灵性之神的猫，在神像顶端等来了诺亚之舟，孤身却常常惊惧的黑猫，孤身但情绪稳定的卡皮巴拉，和三只脱离群体的动物，虚荣自我的环尾狐猴，盲从的狗群中友善的金毛，叫板权威和宗族的鹭鹰。共同驶过文明的遗迹，所有船只都指向那同一个终点，水珠升腾，等待召唤，属于天的高洁之鸟羽化登仙，属于地灵的猫被凝结人类情感羁绊的玻璃球托起，顾虑蒙昧狗群的动物甚至没有登上圣山的机会，浮沉于人间又如何。洪水退却时环尾狐猴聚集在议事厅，推选新一任只看着自己的王，终究没有忘记共患难的情谊，终究只有独立的个体才能结伴更好的生存，鹿群是天命审判的灾厄象征，鲸是海中持剑又仁慈的天使。我们靠在一起看着倒影，我又是谁？,在荒芜时代大洪水来临 化身为动物的 人类 向圣山漂流 被人类塑为地上灵性之神的猫 在神像顶端等来了诺亚之舟 孤身却常常惊惧的黑猫 孤身但情绪稳定的卡皮巴拉 和三只脱离群体的动物 虚荣自我的环尾狐猴 盲从的狗群中友善的金毛 叫板权威和宗族的鹭鹰 共同驶过文明的遗迹 所有船只都指向那同一个终点 水珠升腾 等待召唤 属于天的高洁之鸟羽化登仙 属于地灵的猫被凝结人类情感羁绊的玻璃球托起 顾虑蒙昧狗群的动物甚至没有登上圣山的机会 浮沉于人间又如何 洪水退却时环尾狐猴聚集在议事厅 推选新一任只看着自己的王 终究没有忘记共患难的情谊 终究只有独立的个体才能结伴更好的生存 鹿群是天命审判的灾厄象征 鲸是海中持剑又仁慈的天使 我们靠在一起看着倒影 我又是谁
太美了太美了！人类死绝后的世界太美了！洪水灭世之少年猫的奇幻漂流，真正诠释了什么叫一个都不能少。导演用五年时间手绘自然奇观，每张截图都是屏保。想加入拜猫教…,太美了太美了 人类死绝后的世界太美了 洪水灭世之少年猫的奇幻漂流 真正诠释了什么叫一个都不能少 导演用五年时间手绘自然奇观 每张截图都是屏保 想加入拜猫教
这个家没有卡皮巴拉迟早得散,这个家没有卡皮巴拉迟早得散
本以为是随大流的环保主题动画片，一点也不。上船，下船，再上船，再下船，重复着生和死的赌博。小黑猫从犹豫下水到数次落水，再到熟练捕鱼。反反复复，以至于都快对这一生死间的紧张感到麻木。白鹤可以为了小黑猫折断翅膀，它在此时已经选择了死亡。然而面对小狗同伴的求助，它为了活下去选择视而不见，但也注定了它必须要离开小船的命运。潮水退去，动物们回到熟悉的土地上。没有动物可以守护海洋中的守护者，只能见证鲸鱼在陆地上等待死亡。这是一个关于一艘理想主义小船在现实主义潮水中艰难前行的故事。,本以为是随大流的环保主题动画片 一点也不 上船 下船 再上船 再下船 重复着生和死的赌博 小黑猫从犹豫下水到数次落水 再到熟练捕鱼 反反复复 以至于都快对这一生死间的紧张感到麻木 白鹤可以为了小黑猫折断翅膀 它在此时已经选择了死亡 然而面对小狗同伴的求助 它为了活下去选择视而不见 但也注定了它必须要离开小船的命运 潮水退去 动物们回到熟悉的土地上 没有动物可以守护海洋中的守护者 只能见证鲸鱼在陆地上等待死亡 这是一个关于一艘理想主义小船在现实主义潮水中艰难前行的故事
大部分蠢材编剧都应该学学这部戏的编剧怎么去刻画剧情的，一句对白都没有，就是完全依靠小动物的行为去推动，而这个世界上很多蠢货编剧连90分钟的戏都驾驭不了，只会疯狂用没用的废话台词注水。,大部分蠢材编剧都应该学学这部戏的编剧怎么去刻画剧情的 一句对白都没有 就是完全依靠小动物的行为去推动 而这个世界上很多蠢货编剧连90分钟的戏都驾驭不了 只会疯狂用没用的废话台词注水
小猫为主角的末日公路片，把所有常见动物动画中的拟人塑造完全摒弃，不论是在本届展映还是近期院线中都是一股清流，如初夏的西瓜般解暑、利尿,小猫为主角的末日公路片 把所有常见动物动画中的拟人塑造完全摒弃 不论是在本届展映还是近期院线中都是一股清流 如初夏的西瓜般解暑 利尿
#SIFF26# 太喜欢了，今年上影节看得最喜欢的一部片子，小黑猫的奇幻漂流。镜头始终以低机位记录动物的神情，代入感很强，全程没有一句对白，但是完全把动物之间的交流展现的淋漓尽致，细腻动人，性格立体，又可爱又惊险。影片结尾，洪水退去，船开到了树上，似乎回到了片子一开头时的那个场景，就好像是一个轮回。白鸟注定属于天空，巨鲸必定畅游深海，而这些勇敢冒险的动物们，则属于广袤的陆地。所以我觉得这个片子在表明，不论时代如何变迁，是海洋时代还是陆地时代，每个个体都有它需要征服的旅程。同时片子并没有出现一个人类（仅有石像状的手），说明人类曾出现过，而动物们通过水面镜子等反射，看到了自己的面貌，也诞生了自我意识。所以片子似乎也在表达，去人类中心主义后的大自然，谁才是真正的主人。总之，小猫小狗就是坠吼的！,SIFF26 太喜欢了 今年上影节看得最喜欢的一部片子 小黑猫的奇幻漂流 镜头始终以低机位记录动物的神情 代入感很强 全程没有一句对白 但是完全把动物之间的交流展现的淋漓尽致 细腻动人 性格立体 又可爱又惊险 影片结尾 洪水退去 船开到了树上 似乎回到了片子一开头时的那个场景 就好像是一个轮回 白鸟注定属于天空 巨鲸必定畅游深海 而这些勇敢冒险的动物们 则属于广袤的陆地 所以我觉得这个片子在表明 不论时代如何变迁 是海洋时代还是陆地时代 每个个体都有它需要征服的旅程 同时片子并没有出现一个人类 仅有石像状的手 说明人类曾出现过 而动物们通过水面镜子等反射 看到了自己的面貌 也诞生了自我意识 所以片子似乎也在表达 去人类中心主义后的大自然 谁才是真正的主人 总之 小猫小狗就是坠吼的
人类还能拍出这样的片儿，说明也许还有救。,人类还能拍出这样的片儿 说明也许还有救
卡皮巴拉船长！敬礼！,卡皮巴拉船长 敬礼
